Annual Fees,Originator,Years in Business,1/Years,Credit score,Property Ownership,SIC Code,Industry Category,Industry Subcategory,Num Credit Inquiries,Active Credit Lines,Active Credit Available,Active Credit Balance,Utilitization Percent,Past Due Total Balance,Avg Monthly Payment,Active #30Days,Active #60Days,Active #90Days,Num Charged Off,Credit Bal of Charge Offs,Past Due of Charge Offs,Percent Active Current,Active Percent Revolving,Ever Bankrupt?,Num of Bankruptcies,Time Since Bankruptcy,Num of Child Supports,Num of Closed Judgments,Num of Closed Tax Liens,Amt Past Judgments,Population of Zip Code,White Population,Black Population,Hispanic Population,Asian Population,Hawaiian Population,Indian Population,Other Population,Male Population,Female Population,Households in Zip Code,Persons Per Household,Average House Value,Income Per Household,Median Age,Median Age Male,Median Age Female,State,TimeZone,Metropolitan Statistical Area,Region,Division,Employment,First Quarter Payroll (000),Annual Payroll (000),Avg Annual Salary
"$5,890 ",C,6,0.142857143,459,Lease,72310000,Services - Personal,Beauty shops,12,31,"$6,032 ","$26,701 ",81.57,"$8,295 ",$574 ,9,1,3,0,,,0.41935484,0.08898845,yes,1,102.350159,0,0,2,0,6636,3038,3340,138,76,8,29,45,5135,1501,2143,1.29,"$162,500 ","$21,359 ",33.8,33,37.1,IN,5,"Indianapolis, IN MSA",Midwest,East North Central,47082,"$620,283 ","$2,317,347 ","$49,219 "
"$2,500 ",C,5,0.166666667,421,Own,76991700,Services - For Businesses,Cleaning services,5,16,"$18,146 ","$276,849 ",93.85,"$3,910 ","$3,198 ",14,0,0,0,,,0.75,0.06398525,no,0,,0,0,0,0,37796,33856,1405,2158,1378,4,47,541,18613,19183,12189,3.18,"$173,500 ","$71,153 ",34.4,34,34.8,NJ,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,7137,"$52,360 ","$234,309 ","$32,830 "
"$2,120 ",A,2,0.333333333,443,Own,54410000,Retail - Food Stores,Candy & chocolates,12,12,"$35,450 ","$226,350 ",86.46,"$2,796 ","$2,499 ",1,1,0,0,,,0.91666667,0.03052101,no,0,,0,0,0,0,27309,25166,614,767,661,3,112,216,13181,14128,10679,2.59,"$137,100 ","$55,632 ",34.3,33.4,35.1,MN,6,"Minneapolis-St. Paul, MN-WI MSA",Midwest,West North Central,7297,"$87,243 ","$305,420 ","$41,856 "
"$3,360 ",B,3,0.25,715,Mortgage,57130000,"Retail - Furniture, Furnishings & Appliances",Floor covering,11,17,"$62,970 ","$497,473 ",88.76,$0 ,"$5,399 ",0,0,0,0,,,1,0.11464746,no,0,,0,0,0,0,28126,22011,2249,694,3217,8,38,156,13505,14621,11084,2.6,"$179,500 ","$68,402 ",37.2,35.9,38.3,NJ,5,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA",Northeast,Middle Atlantic,17652,"$167,021 ","$694,464 ","$39,342 "
"$3,270 ",A,6,0.142857143,501,Lease,72160000,Services - Personal,Dry cleaning,8,8,"$13,070 ","$448,987 ",97.17,"$2,501 ","$4,505 ",2,0,0,0,,,0.75,0.03018245,no,0,,0,1,0,512,27196,15240,7270,4783,1280,184,191,1796,13342,13854,9418,3.11,"$130,600 ","$53,332 ",30.9,30.7,31,NV,8,"Las Vegas, NV-AZ MSA",West,Mountain,9949,"$71,297 ","$312,123 ","$31,372 "
"$5,630 ",B,4,0.2,460,Mortgage,70110300,Services - Hotels Rooming and Other Lodging,Hotels,2,19,"$11,308 ","$52,819 ",82.37,"$1,502 ",$929 ,38,38,77,0,,,0.78947368,0.30225398,no,0,,0,0,0,0,2132,2084,13,11,12,0,5,4,1022,1110,1872,2.47,"$55,100 ","$28,880 ",41.9,41.7,42,PA,5,,Northeast,Middle Atlantic,523,"$2,589 ","$11,637 ","$22,250 "
"$2,110 ",B,5,0.166666667,629,Lease,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,4,6,"$3,150 ","$19,692 ",86.21,"$2,477 ",$578 ,0,0,0,0,,,0.66666667,0.14815365,yes,1,75.6428953,0,1,0,280,11199,10462,18,154,147,4,307,55,5622,5577,4220,2.67,"$160,600 ","$40,858 ",34.6,33.7,35.5,MT,7,"Missoula, MT MSA",West,Mountain,9247,"$61,858 ","$282,468 ","$30,547 "
"$3,340 ",B,5,0.166666667,557,Lease,75370000,Services - Auto Repair & Maintenance,Automotive transmission repair shops,3,16,"$9,840 ","$15,208 ",60.72,"$6,148 ",$288 ,9,5,6,0,,,0.8125,0.49810943,no,0,,0,0,0,0,15929,8093,7577,120,73,2,32,43,7630,8299,6612,2.67,"$84,500 ","$31,350 ",34.3,32.8,35.4,MS,6,,South,East South Central,2642,"$13,558 ","$57,130 ","$21,624 "
"$2,560 ",A,3,0.25,573,Lease,56510000,Retail - Clothes & Accessories,Family clothing,5,40,"$174,200 ","$254,184 ",59.34,$94 ,"$5,736 ",2,0,0,0,,,0.95,0.65218681,no,0,,0,0,0,0,19771,18795,39,1030,83,12,294,292,9589,10182,12017,2.31,"$136,500 ","$32,699 ",48,46.7,49.2,AZ,7,,West,Mountain,4804,"$25,854 ","$109,250 ","$22,741 "
"$2,210 ",A,4,0.2,559,Lease,58120800,Services - Eating and Drinking,Steak & barbecue restaurants,2,7,"$24,800 ","$211,116 ",89.49,"$1,063 ","$2,432 ",0,0,0,0,,,0.42857143,0,no,0,,0,0,0,0,44927,36511,4263,5752,1200,37,187,1532,21817,23110,18144,2.62,"$106,800 ","$51,114 ",33.8,32.7,34.7,FL,5,"Tampa-St. Petersburg-Clearwater, FL MSA",South,South Atlantic,20699,"$111,196 ","$477,628 ","$23,075 "
"$3,580 ",B,15,0.0625,523,Own,57340000,"Retail - Furniture, Furnishings & Appliances",Computers & software,2,11,"$15,190 ","$13,737 ",47.49,"$1,380 ",$500 ,14,10,6,0,,,0.54545455,1,no,0,,0,0,0,0,24572,6062,12923,2381,2934,43,128,1217,11748,12824,11734,2.23,"$157,300 ","$33,556 ",34.7,33.6,35.6,CA,8,"San Francisco-Oakland-San Jose, CA CMSA",West,Pacific,22607,"$338,101 ","$1,440,765 ","$63,731 "
"$3,440 ",A,4,0.2,478,Lease,50140000,Wholesale,Tires & tubes,10,17,$600 ,"$312,453 ",99.81,"$1,987 ","$4,338 ",8,1,11,0,,,0.47058824,0.03531075,no,0,,0,0,0,0,32887,15574,16236,779,275,19,97,318,16398,16489,13276,2.46,"$94,500 ","$33,947 ",34.3,31.1,37.6,GA,5,"Savannah, GA MSA",South,South Atlantic,19304,"$150,051 ","$623,373 ","$32,292 "
"$2,590 ",C,8,0.111111111,547,Lease,59440000,Retail - Others,Jewelry,1,4,"$4,689 ","$3,204 ",40.59,$45 ,$206 ,3,1,0,0,,,0.75,1,no,0,,0,0,2,0,5785,5202,19,99,18,4,374,13,3055,2730,2922,2.23,"$63,100 ","$30,304 ",44.9,44.3,45.5,SD,7,,Midwest,West North Central,1949,"$18,042 ","$76,310 ","$39,153 "
"$2,490 ",A,10,0.090909091,450,Lease,79910103,Services - Amusement & Recreation,Spas,6,11,$600 ,"$19,704 ",97.04,"$18,248 ",$33 ,0,0,2,0,,,0.27272727,0.04072215,no,0,,0,0,0,0,22598,5586,15969,230,367,3,38,139,10327,12271,9742,2.35,"$149,800 ","$52,557 ",40.3,38,41.9,MI,5,"Detroit-Ann Arbor-Flint, MI CMSA",Midwest,East North Central,41313,"$464,458 ","$2,003,439 ","$48,494 "
"$1,490 ",B,2,0.333333333,607,Own,56320000,Retail - Clothes & Accessories,Women's accessories,8,10,"$25,000 ","$756,708 ",96.8,$0 ,"$9,766 ",7,0,0,0,,,1,0.01226445,no,0,,0,1,0,6152,17784,14197,1940,3239,621,10,20,496,8821,8963,6066,3.03,"$132,800 ","$64,137 ",34.1,33.4,34.7,FL,5,"Miami-Fort Lauderdale, FL CMSA",South,South Atlantic,14092,"$147,096 ","$625,623 ","$44,396 "
"$2,870 ",B,5,0.166666667,620,Mortgage,47830000,Services - Transportation & Storage,Packing & crating services,2,4,"$2,000 ","$13,961 ",87.47,"$1,245 ",$949 ,0,0,0,0,,,0.5,0,no,0,,0,0,0,0,13340,7125,3752,3589,124,1,46,1943,6519,6821,4515,3.19,"$63,600 ","$41,231 ",29.2,28.3,29.8,TX,6,"Houston-Galveston-Brazoria, TX CMSA",South,West South Central,1357,"$21,729 ","$79,645 ","$58,692 "
"$3,210 ",B,18,0.052631579,603,Lease,55110000,Retail - Automotive Dealers & Gas Stations,Automobiles,4,19,"$159,925 ","$426,825 ",72.74,$0 ,"$5,106 ",2,1,0,0,,,1,0.15227022,no,0,,0,0,0,0,47813,45796,154,2490,305,18,85,1009,23892,23921,18107,2.77,"$150,000 ","$59,121 ",35.2,34.3,36,IL,6,"Chicago-Gary-Kenosha, IL-IN-WI CMSA",Midwest,East North Central,16543,"$135,413 ","$591,043 ","$35,728 "
"$3,200 ",B,15,0.0625,512,Mortgage,59210000,Retail - Others,Alcoholic beverages,12,9,"$8,170 ","$676,689 ",98.81,$930 ,"$7,595 ",14,2,5,0,,,0.77777778,0.01634373,no,0,,0,0,0,0,39827,1095,36447,1771,225,15,116,518,18172,21655,13058,3.18,"$181,500 ","$56,726 ",35.6,33.4,37.4,NY,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,5501,"$47,552 ","$187,180 ","$34,027 "
"$2,140 ",B,11,0.083333333,612,Lease,59990605,Retail - Others,Mobile telephones & equipment,7,5,$500 ,"$211,737 ",99.76,$0 ,"$1,840 ",0,0,0,0,,,0.4,0.03174509,yes,1,15.4415924,0,1,0,3460,14645,11296,35,329,74,3,2070,107,7169,7476,6300,2.49,"$72,500 ","$32,438 ",36.6,34.6,38.4,OK,6,,South,West South Central,5694,"$37,206 ","$150,144 ","$26,369 "
"$2,680 ",C,3,0.25,676,Lease,59930000,Retail - Others,Tobacco stores,3,5,"$7,700 ","$126,801 ",94.28,$0 ,$996 ,1,0,0,0,,,1,0.03688158,no,0,,0,0,0,0,35192,25727,6961,2137,373,32,140,1251,16726,18466,16543,2.23,"$93,500 ","$32,188 ",35.6,32.6,38.4,TN,6,"Nashville, TN MSA",South,East South Central,18527,"$100,010 ","$425,078 ","$22,944 "
"$2,540 ",A,10,0.090909091,490,Lease,54990100,Retail - Food Stores,Health & dietetic food stores,4,15,"$59,800 ","$99,843 ",62.54,"$8,764 ","$3,562 ",5,2,0,0,,,0.73333333,0.95672008,no,0,,0,0,0,0,17487,12066,1623,4592,1128,12,60,2018,8812,8675,7954,2.35,"$182,100 ","$51,074 ",33.7,32.5,35,TX,6,"Dallas-Fort Worth, TX CMSA",South,West South Central,30157,"$335,096 ","$1,454,383 ","$48,227 "
"$3,170 ",B,5,0.166666667,533,Lease,56210000,Retail - Clothes & Accessories,Women's clothing,0,9,"$3,920 ","$616,231 ",99.37,"$10,582 ","$5,105 ",14,3,8,0,,,0.33333333,0.02642759,no,0,,0,0,0,0,29582,25017,2064,5791,890,13,33,768,13643,15939,11931,2.57,"$134,600 ","$57,355 ",38.8,37.2,40.1,FL,5,"Miami-Fort Lauderdale, FL CMSA",South,South Atlantic,8144,"$38,693 ","$156,562 ","$19,224 "
"$3,040 ",C,5,0.166666667,494,Own,58120100,Services - Eating and Drinking,Ethnic food restaurants,3,19,"$20,276 ","$21,596 ",51.58,"$1,063 ",$570 ,22,13,18,0,,,0.52631579,0.69635155,no,0,,0,0,0,0,32622,14153,16419,884,1078,11,76,342,15776,16846,11664,2.89,"$158,900 ","$69,527 ",36.6,35.6,37.4,GA,5,"Atlanta, GA MSA",South,South Atlantic,9938,"$86,059 ","$322,930 ","$32,494 "
"$2,690 ",C,35,0.027777778,465,Lease,58120500,Services - Eating and Drinking,Family restaurants,6,5,"$1,160 ","$4,299 ",78.75,"$2,905 ",$130 ,6,3,3,5,4299,2905,0,0.34626103,no,0,,0,0,0,0,20890,10103,9358,389,933,9,36,101,10052,10838,12541,1.67,"$165,900 ","$25,953 ",34.8,34.5,35.3,MO,6,"St. Louis, MO-IL MSA",Midwest,West North Central,14206,"$97,565 ","$405,274 ","$28,528 "
"$2,410 ",A,7,0.125,473,Lease,58120313,Services - Eating and Drinking,Sandwiches & subs shop,2,10,"$2,500 ","$159,865 ",98.46,"$90,129 ",$657 ,2,0,0,0,,,0.4,0.00370188,no,0,,0,0,0,0,49681,4568,38889,9421,53,15,157,5085,23304,26377,18255,2.99,"$43,200 ","$24,960 ",33.6,31,35.9,TX,6,"Dallas-Fort Worth, TX CMSA",South,West South Central,6565,"$56,173 ","$223,868 ","$34,100 "
"$4,340 ",C,1,0.5,695,Lease,59990605,Retail - Others,Mobile telephones & equipment,1,13,"$20,100 ","$793,198 ",97.53,$0 ,"$3,246 ",0,0,0,0,,,1,0.02382028,yes,1,87.2192183,0,0,0,0,36115,4697,28747,3895,435,8,86,765,16840,19275,12252,3.09,"$93,500 ","$35,897 ",30.5,29,31.7,FL,5,"Miami-Fort Lauderdale, FL CMSA",South,South Atlantic,17093,"$137,229 ","$563,124 ","$32,945 "
"$2,760 ",A,12,0.076923077,505,Lease,55310000,Retail - Automotive Dealers & Gas Stations,Automotive supplies,2,10,"$3,700 ","$8,622 ",69.97,"$10,320 ",$111 ,16,9,13,0,,,0.3,0.52105779,no,0,,0,1,0,21714,37134,32559,700,3454,844,123,262,1528,18681,18453,12951,3.02,"$128,900 ","$44,909 ",26,26,26,UT,7,"Salt Lake City-Ogden, UT MSA",West,Mountain,15277,"$85,950 ","$353,388 ","$23,132 "
"$2,430 ",C,3,0.25,510,Own,58120600,Services - Eating and Drinking,Pizza restaurants,5,3,"$44,200 ","$275,247 ",86.16,"$1,990 ","$2,311 ",1,0,0,0,,,0.33333333,0,no,0,,0,0,0,0,29540,25287,732,3198,1031,16,126,1793,14461,15079,12499,2.38,"$119,600 ","$40,653 ",33.9,33,35.2,NH,5,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA",Northeast,New England,22740,"$190,100 ","$804,593 ","$35,382 "
"$3,230 ",B,6,0.142857143,490,Lease,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,3,2,$0 ,$446 ,100,$446 ,$53 ,0,0,0,6,7261,7985,0,0,yes,1,63.2396774,0,0,0,0,13396,7386,4723,2077,62,4,62,848,6348,7048,5613,2.58,"$59,400 ","$34,455 ",37.7,36.4,38.8,TX,6,"Houston-Galveston-Brazoria, TX CMSA",South,West South Central,3677,"$18,573 ","$76,419 ","$20,783 "
"$2,830 ",A,1,0.5,535,Lease,55310000,Retail - Automotive Dealers & Gas Stations,Automotive supplies,6,9,"$6,330 ","$20,966 ",76.81,"$20,302 ","$1,359 ",0,1,4,0,,,0.55555556,0.01117581,no,0,,0,0,0,0,19759,15974,1874,1954,498,11,91,1015,9470,10289,10895,1.95,"$164,400 ","$46,175 ",35.1,33.6,36.9,NC,5,"Charlotte-Gastonia-Rock Hill, NC-SC MSA",South,South Atlantic,10734,"$112,840 ","$437,410 ","$40,750 "
